Ano.Mes,Ano.Semana,Date,peixeVivo,unidadePeixes,biometria,mortalidade%,BemEstarAnimal,RendPotencial,rendOperacional,eficPotencial,rendimentoPac,rendPacEQM,EficienciaPotEQM,eficienciaResfriado,Média de Unidade Hora Homem,uniHH_Industrial,Média de Kgs Hora Homem,KGHH_Industrial,EficiSkinner,couroSkinner,unidadeHora,KgHora,GW_Pac,GW_PXV,rendimentoMRN,totalPacResfriado,totalPac
2026.07,2026.28,2026-07-07 00:00:00,"14935,14",14762,"1,012","0,00%","97,36%","44,09%","43,26%","98,13%","32,28%","31,19%","70,76%","94,76%","21,9","21,3","20,0","21,6","88,20%","4,77%",78,79,"1,04%","0,69%","89,42%",4569,"4821,60"
2026.07,2026.28,2026-07-09 00:00:00,"14251,38",13585,"1,049","0,00%","99,29%","44,45%","43,83%","98,62%","32,21%","31,70%","71,32%","97,50%","21,4","21,3","20,2","22,4","88,35%","4,78%",79,83,"1,32%","0,79%","88,98%",4476,"4591,00"
2026.07,2026.28,2026-07-10 00:00:00,"14075,41",13336,"1,055","0,00%","98,91%","45,16%","44,39%","98,30%","32,87%","32,05%","70,98%","97,61%","20,8","21,1","19,6","22,3","88,91%","4,60%",79,83,"0,69%","0,67%","89,04%",4516,"4626,50"
2026.07,2026.29,2026-07-13 00:00:00,"12843,64",13971,"0,919","0,00%","97,21%","44,57%","43,83%","98,35%","32,22%","31,23%","70,08%","94,01%","21,0","22,2","19,1","20,4","88,62%","4,65%",74,68,"0,59%","1,00%","89,06%",3890,"4138,00"
2026.07,2026.29,2026-07-14 00:00:00,"12754,15",12985,"0,982","0,00%","98,10%","44,63%","43,83%","98,20%","31,84%","31,51%","70,59%","96,41%","20,9","24,6","19,7","24,2","89,02%","4,49%",88,86,"0,23%","0,75%","88,89%",3915,"4060,86"
2026.07,2026.29,2026-07-15 00:00:00,"11793,87",11896,"0,991","0,00%","94,67%","44,80%","44,18%","98,62%","35,56%","34,29%","76,56%","94,67%","20,9","21,2","19,8","21,0","89,25%","4,44%",91,90,"-7,14%","-1,99%","88,85%",3971,"4194,37"
2026.07,2026.29,2026-07-16 00:00:00,"13027,65",14893,"0,875","0,00%","95,30%","43,80%","43,12%","98,45%","29,05%","28,57%","65,23%","89,56%","20,9","24,4","19,7","21,3","89,06%","4,41%",86,75,"7,98%","3,11%","88,72%",3390,"3785,00"
2026.07,2026.29,2026-07-17 00:00:00,"13028,66",13754,"0,947","0,00%","96,63%","44,60%","43,84%","98,31%","32,80%","31,58%","70,82%","92,22%","20,9","22,8","20,1","21,6","88,86%","4,57%",80,73,"0,35%","0,81%","89,01%",3941,"4273,29"
2026.07,2026.30,2026-07-20 00:00:00,"13245,85",14476,"0,915","0,00%","95,56%","44,67%","43,87%","98,22%","32,64%","31,66%","70,88%","94,14%","21,6","22,2","20,5","20,4","90,01%","4,07%",71,65,"-0,29%","0,57%","88,81%",4070,"4323,23"
2026.07,2026.30,2026-07-21 00:00:00,"10059,33",9970,"1,009","0,00%","98,40%","44,89%","43,92%","97,85%","32,19%","31,60%","70,39%","95,75%","21,6","22,6","20,4","22,8","88,37%","4,78%",79,78,"-0,23%","0,48%","88,89%",3100,"3237,72"
2026.07,2026.30,2026-07-22 00:00:00,"11788,84",10992,"1,072","0,00%","98,67%","45,94%","44,92%","97,77%","34,65%","33,60%","73,12%","96,43%","21,5","23,1","21,0","24,7","88,94%","4,65%",76,81,"0,35%","0,68%","88,78%",3939,"4085,00"
2026.07,2026.30,2026-07-23 00:00:00,"10202,11",10188,"1,001","0,00%","97,78%","44,76%","44,24%","98,83%","32,60%","31,87%","71,20%","95,17%","21,6","23,4","20,0","23,5","89,38%","4,38%",79,78,"-0,05%","2,32%","88,12%",2975,"3326,14"
2026.07,2026.30,2026-07-24 00:00:00,"8821,52",9089,"0,971","0,00%","97,92%","44,92%","44,26%","98,54%","33,91%","32,18%","71,63%","94,82%","21,6","22,5","20,4","21,8","88,78%","4,64%",79,76,"1,12%","0,72%","89,32%",2836,"2991,00"
2026.07,2026.31,2026-07-27 00:00:00,"12114,63",12458,"0,972","0,00%","98,09%","44,47%","43,59%","98,03%","32,09%","30,95%","69,60%","94,01%","21,6","22,1","20,5","21,5","88,58%","4,66%",74,72,"0,04%","0,67%","88,47%",3655,"3887,69"
2026.07,2026.31,2026-07-28 00:00:00,"12504,78",12793,"0,977","0,00%","98,63%","45,12%","44,21%","97,99%","32,52%","31,80%","70,49%","95,15%","21,6","21,4","20,4","20,9","89,25%","4,45%",77,75,"0,76%","0,66%","88,40%",3870,"4067,17"
2026.07,2026.31,2026-07-29 00:00:00,"11662,14",10362,"1,125","0,00%","97,74%","45,45%","44,75%","98,45%","33,55%","32,40%","71,28%","95,28%","21,5","19,0","21,0","21,3","89,33%","4,47%",72,81,"0,45%","0,77%","88,27%",3728,"3912,84"
2026.07,2026.31,2026-07-30 00:00:00,"12759,18",12908,"0,988","0,00%","97,43%","44,91%","44,34%","98,73%","33,19%","32,64%","72,66%","95,87%","21,3","20,6","19,7","20,4","89,17%","4,50%",77,76,"-0,27%","0,40%","88,82%",4060,"4235,00"
2026.07,2026.31,2026-07-31 00:00:00,"12210,16",13040,"0,936","0,00%","97,60%","44,97%","44,22%","98,34%","33,84%","32,30%","71,82%","94,67%","22,5","23,1","21,3","21,6","89,70%","4,26%",83,77,"0,83%","0,76%","89,11%",3912,"4132,39"
2026.08,2026.32,2026-08-03 00:00:00,"13856,21",13281,"1,043","0,00%","97,40%","44,88%","44,21%","98,51%","32,60%","31,61%","70,42%","94,69%","22,5","21,1","22,2","22,0","89,35%","4,41%",73,76,"1,61%","1,01%","88,52%",4277,"4517,00"
2026.08,2026.32,2026-08-04 00:00:00,"14006,03",12532,"1,118","0,00%","97,55%","45,37%","44,46%","97,99%","32,60%","31,86%","70,21%","94,71%","22,5","21,5","22,2","24,1","89,37%","4,42%",78,86,"2,26%","1,17%","88,54%","4324,70","4566,12"
2026.08,2026.32,2026-08-05 00:00:00,"14023,13",14058,"0,998","0,00%","94,25%","44,96%","44,19%","98,28%","32,84%","31,59%","70,27%","92,68%","23,0","22,4","21,6","22,3","89,73%","4,25%",72,72,"0,97%","0,88%","88,49%",4268,"4604,89"
2026.08,2026.32,2026-08-06 00:00:00,"15720,46",15604,"1,007","0,00%","95,00%","45,43%","44,73%","98,44%","32,96%","32,30%","71,08%","92,44%","22,9","24,9","22,4","25,1","89,24%","4,50%",79,80,"2,13%","1,14%","89,32%",4790,"5181,48"
2026.08,2026.32,2026-08-07 00:00:00,"15458,02",15665,"0,987","0,00%","91,39%","44,92%","44,20%","98,40%","32,37%","31,01%","69,03%","91,44%","23,0","23,1","22,0","22,8","88,97%","4,56%",79,78,"1,03%","1,00%","88,97%",4576,"5004,19"
2026.08,2026.33,2026-08-10 00:00:00,"14843,64",14114,"1,052","0,00%","95,84%","45,27%","44,38%","98,04%","32,66%","31,72%","70,07%","94,77%","22,3","21,7","21,3","22,8","89,00%","4,57%",75,79,"-0,23%","0,49%","88,24%",4595,"4848,34"
2026.08,2026.33,2026-08-11 00:00:00,"15380,59",13974,"1,101","0,00%","96,10%","45,33%","44,60%","98,39%","32,31%","31,54%","69,57%","93,97%","21,9","21,6","20,6","23,7","89,31%","4,46%",80,87,"0,22%","0,63%","88,49%",4670,"4969,91"
2026.08,2026.33,2026-08-12 00:00:00,"14961,29",13664,"1,095","0,00%","97,35%","45,49%","44,63%","98,10%","33,19%","32,07%","70,50%","96,42%","21,9","21,9","20,6","23,9","89,37%","4,44%",82,89,"-0,12%","0,61%","88,52%",4788,"4965,63"
2026.08,2026.33,2026-08-13 00:00:00,"13931,62",13519,"1,031","0,00%","98,06%","45,06%","44,30%","98,31%","32,50%","32,02%","71,06%","94,63%","21,9","21,6","20,6","22,2","85,94%","5,83%",86,87,"1,22%","1,19%","89,06%",4285,"4528,33"
2026.08,2026.33,2026-08-14 00:00:00,"14671,69",13568,"1,081","0,00%","96,09%","46,10%","44,85%","97,28%","33,50%","32,59%","70,70%","94,23%","21,9","22,4","20,6","24,2","89,41%","4,44%",86,93,"0,09%","0,78%","89,38%",4631,"4914,63"
2026.08,2026.34,2026-08-17 00:00:00,"12175,97",11120,"1,095","0,00%","100,00%",,"43,65%",,"23,57%","20,59%",,"100,00%","20,7",,"21,3",,"88,65%","4,64%",,,"30,51%","7,19%","76,82%",2870,"2870,00"
